Trait	Hukku et al. 2022	Step Prior	Linear Prior
Heights	4723 (966)	5099 (1049)	14239 (2425)
HDL	454 (128)	396 (111)	988 (204)
LDL	346 (88)	300 (79)	649 (146)
CAD	801 (179)	797 (178)	1498 (291)
Total	6324	6592	17374
