Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.49297862943501	0.77494047344939	1.92657201499556	0.0540329890424711	-0.0258767886882139	3.01183404755823	1	GO:0010847	4	0.75
2	a1	1.01257831547092	0.816722417304838	1.23980717807698	0.215046722599985	-0.588168207813051	2.6133248387549	1	GO:0010256	2	1
3	a1	1.01257831547092	0.816722417304838	1.23980717807698	0.215046722599985	-0.588168207813051	2.6133248387549	1	GO:1903305	2	1
4	a1	1.01257831547092	0.816722417304838	1.23980717807698	0.215046722599985	-0.588168207813051	2.6133248387549	1	GO:0043933	2	1
5	a1	1.01257831547092	0.816722417304838	1.23980717807698	0.215046722599985	-0.588168207813051	2.6133248387549	1	GO:1901382	2	1
6	a1	1.01257766475191	0.816722504027153	1.23980624968581	0.215047066070568	-0.58816902850468	2.6133243580085	1	GO:0070813	2	1
7	a1	1.01257742964366	0.816722535371173	1.23980591423681	0.215047190174457	-0.588169325046079	2.6133241843334	1	GO:1904956	2	1
8	a1	1.01257742964366	0.816722535371173	1.23980591423681	0.215047190174457	-0.588169325046079	2.6133241843334	1	GO:2000041	2	1
9	a1	1.01257736223797	0.816722544321172	1.23980581811854	0.215047225734718	-0.588169409993448	2.61332413446938	1	GO:0090230	2	1
10	a1	1.01257545458615	0.816722798540758	1.23980309646715	0.215048232648434	-0.588171815906501	2.61332272507879	1	GO:0097359	2	1
11	a1	1.01255667572708	0.81672530035755	1.23977630579559	0.215058144420483	-0.588195498236378	2.61330884969053	1	GO:0006545	2	1
12	a1	1.01254029725629	0.81672748253794	1.23975293951157	0.215066789537175	-0.588216153702134	2.61329674821472	1	GO:0018958	2	1
13	a1	1.00689426077601	0.81748091448645	1.23170369232235	0.218059790064066	-0.595338889666301	2.60912741121832	1	GO:0006581	2	1
14	a1	0.937873789429453	0.774939359631744	1.21025442542386	0.226181279712748	-0.580979445651298	2.4567270245102	1	GO:0070105	4	0.75
15	a1	0.937873789429453	0.774939359631744	1.21025442542386	0.226181279712748	-0.580979445651298	2.4567270245102	1	GO:0006534	4	0.75
16	a1	0.937873789428679	0.774939359631899	1.21025442542262	0.226181279713224	-0.580979445652376	2.45672702450973	1	GO:0051142	4	0.75
17	a1	0.937872280435811	0.774939627945928	1.21025205914654	0.2261821874232	-0.580981480531076	2.4567260414027	1	GO:0046546	4	0.75
18	a1	0.937869051504208	0.774940202111267	1.21024699576697	0.226184129758181	-0.580985834806065	2.45672393781448	1	GO:0071726	4	0.75
19	a1	0.93786699020016	0.77494056862732	1.21024376341716	0.226185369708205	-0.580988614468376	2.4567225948687	1	GO:1905448	4	0.75
20	a1	0.987200355602079	0.820126237772483	1.2037175621687	0.228698761955079	-0.620217533208321	2.59461824441248	1	GO:0060623	2	1
21	a1	0.825340356239465	0.813193418640794	1.01493732895548	0.310135702668412	-0.768489456761494	2.41917016924042	1	GO:1901576	4	0.75
22	a1	0.770675767497033	0.805521716489908	0.956741142691078	0.338697926302679	-0.808117785588071	2.34946932058214	1	GO:0032057	4	0.75
23	a1	0.767384274645993	0.851063305985687	0.901677077661364	0.367228433065134	-0.900669153649544	2.43543770294153	1	GO:1903027	2	1
24	a1	0.665498251934229	0.762484081545744	0.872802813909372	0.382770565602667	-0.828943086680532	2.15993959054899	1	GO:0043549	6	0.833333333333333
25	a1	0.64058341625941	0.741387263873949	0.864033478147694	0.387569499963485	-0.812508919530222	2.09367575204904	1	GO:0048339	8	0.75
26	a1	0.672986997691089	0.865127278566637	0.77790518732239	0.436624909987705	-1.02263131034267	2.36860530572485	1	GO:0061944	2	1
27	a1	0.372464289202156	0.886172049526223	0.420306970188563	0.674261218652381	-1.36440101197529	2.1093295903796	1	GO:0019076	4	0.75
28	a1	0.273758509470577	0.868714276032685	0.315130667267032	0.752662444768443	-1.42889018440927	1.97640720335043	1	GO:0045428	7	0.714285714285714
29	a1	0.274739825100011	0.931456841053513	0.294957117700987	0.76802663817864	-1.55088203651832	2.10036168671835	1	GO:1902957	2	1
30	a1	0.274739825100011	0.931456841053513	0.294957117700987	0.76802663817864	-1.55088203651832	2.10036168671835	1	GO:0051621	2	1
31	a1	0.149395175784815	0.956352738292127	0.156213465809287	0.875864762859571	-1.72502174778401	2.02381209935364	1	GO:1903518	2	1
