Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.53995549312824	0.775001737040504	1.987034892346	0.0469185303177511	0.0209800005728689	3.05893098568361	1	GO:0060492	3	1
2	a1	1.05163799323631	0.81676251249861	1.28756887974594	0.197896078132138	-0.54918711518341	2.65246310165603	1	GO:0044336	2	1
3	a1	1.05163799323574	0.816762512499535	1.28756887974378	0.197896078132889	-0.549187115185795	2.65246310165727	1	GO:0043933	2	1
4	a1	1.05163799323574	0.816762512499535	1.28756887974378	0.197896078132889	-0.549187115185795	2.65246310165727	1	GO:0014866	2	1
5	a1	1.05163799121153	0.81676251272225	1.28756887691436	0.19789607911836	-0.549187117646512	2.65246310006958	1	GO:0090222	2	1
6	a1	1.05163793099584	0.816762520498713	1.28756879093046	0.197896109066042	-0.549187193103792	2.65246305509548	1	GO:0006720	2	1
7	a1	1.05163740080746	0.816762589145823	1.2875680335791	0.197896372847178	-0.549187857838035	2.65246265945296	1	GO:0090230	2	1
8	a1	1.0516270525311	0.816763928299819	1.28755325265181	0.197901521010917	-0.549200830807996	2.6524549358702	1	GO:1903518	2	1
9	a1	0.984747668727303	0.775000178657387	1.27064186028097	0.20385608776721	-0.534224769453283	2.50372010690789	1	GO:0060916	3	1
10	a1	0.984747668728738	0.77500017865896	1.27064186028024	0.203856087767468	-0.53422476945493	2.50372010691241	1	GO:0097325	4	0.75
11	a1	0.984747667315498	0.775000178959205	1.27064185796444	0.203856088591701	-0.53422477145664	2.50372010608764	1	GO:1905279	4	0.75
12	a1	0.984746764607917	0.775000333932344	1.27064043909674	0.203856593591796	-0.534225977905992	2.50371950712183	1	GO:0071726	4	0.75
13	a1	0.968098562376181	0.77786895178719	1.24455226057285	0.213296377887684	-0.556496567818636	2.492693692571	1	GO:1901843	4	0.75
14	a1	0.881421009496315	0.756403517390758	1.16527883494885	0.24390614348834	-0.601102642368988	2.36394466136162	1	GO:1990791	5	0.8
15	a1	0.88142079231357	0.756403561461064	1.16527847993077	0.243906287147017	-0.601102945927945	2.36394453055508	1	GO:0051823	4	1
16	a1	0.859367078228501	0.796996137048584	1.07825752005635	0.280918848865391	-0.702716646204273	2.42145080266127	1	GO:0006391	3	1
17	a1	0.785813505065367	0.745985736337399	1.05338945074676	0.292162537075281	-0.676291671136528	2.24791868126726	1	GO:0051223	7	0.714285714285714
18	a1	0.702819746040179	0.739095256270559	0.950919032529819	0.341645479402945	-0.745780337394519	2.15141982947488	1	GO:0000904	8	0.75
19	a1	0.734354386470643	0.819768503838356	0.895807027267109	0.370355836077795	-0.87236235671282	2.34107112965411	1	GO:1905448	4	0.75
20	a1	0.697404751640245	0.826666317197246	0.843635136852735	0.39887332339892	-0.922831457298722	2.31764096057921	1	GO:1901485	4	0.75
21	a1	0.615445954301858	0.772847314796708	0.796335760658942	0.425836905486749	-0.89930694824818	2.13019885685189	1	GO:1905146	8	0.75
22	a1	0.686049980375808	0.86756356071051	0.790777772886119	0.42907368264696	-1.01434335291612	2.38644331366774	1	GO:0071955	2	1
23	a1	0.543199276950205	0.889290567993903	0.61082316230518	0.541316657627526	-1.19977820810901	2.28617676200942	1	GO:1904956	2	1
24	a1	0.543199276950205	0.889290567993903	0.61082316230518	0.541316657627526	-1.19977820810901	2.28617676200942	1	GO:2000041	2	1
25	a1	0.426092324287766	0.908111050870547	0.469207288997639	0.63892147591437	-1.35377262938133	2.20595727795686	1	GO:2000740	2	1
26	a1	0.237219260757127	0.959338226200551	0.247273854286649	0.804696291859773	-1.64304911158849	2.11748763310275	1	GO:0016243	2	1
27	a1	0.192845480729271	0.932671493286725	0.206766779211495	0.836192001822783	-1.6351570555199	2.02084801697844	1	GO:0061092	4	0.75
28	a1	0.0426611671179899	0.983067169331669	0.0433959839661748	0.965385879018048	-1.88411507915582	1.9694374133918	1	GO:0030003	2	1
29	a1	0.0107795290066352	0.99942424614269	0.0107857389374324	0.991394392276791	-1.94805599870913	1.9696150567224	0	GO:0097734	1	1
30	a1	0.0107795290066352	0.99942424614269	0.0107857389374324	0.991394392276791	-1.94805599870913	1.9696150567224	0	GO:1902047	1	1
31	a1	0.0107795290066352	0.99942424614269	0.0107857389374324	0.991394392276791	-1.94805599870913	1.9696150567224	0	GO:1903710	1	1
32	a1	0.0107795290066352	0.99942424614269	0.0107857389374324	0.991394392276791	-1.94805599870913	1.9696150567224	0	GO:1990938	1	1
33	a1	0.0107795290066352	0.99942424614269	0.0107857389374324	0.991394392276791	-1.94805599870913	1.9696150567224	0	GO:2000152	1	1
34	a1	0.00923040221323162	0.999516815076696	0.00923486436045935	0.992631749036577	-1.94978655727927	1.96824736170574	0	GO:0034729	1	1
35	a1	0.0016733715921524	0.999930504911509	0.0016734878913415	0.99866475047205	-1.95815440507736	1.96150114826166	0	GO:0097699	1	1
