trait	hgnc_symbol
Urate_all	DPY19L2P4
Urate_all	GRHL1
Urate_all	ATXN7L3
Urate_all	BTD
Urate_all	MAST3
Urate_all	LINC01229
Urate_all	RGS14
Urate_all	GAPDHP72
Urate_all	COBLL1
Urate_all	SLC7A9
Urate_all	DST
Urate_all	NUP153
Urate_all	P2RX3
Urate_all	TP53INP1
Urate_all	CPNE3
Urate_all	KLF11
Urate_all	GSTA5
Urate_all	TRIB3
Urate_all	UVRAG
Urate_all	FABP2
Urate_all	REXO5
Urate_all	PLCG2
Urate_all	KCTD21
Urate_all	DNAJC3-DT
Urate_all	SLC47A1
Urate_all	GSTA1
Urate_all	LETM2
Urate_all	FABP5P9
Urate_all	SLC39A10
Urate_all	TSEN15
Urate_all	RAD17
Urate_all	THUMPD1
Urate_all	CYP2D7
Urate_all	PRPSAP2
Urate_all	POLR2L
Urate_all	HLF
Urate_all	TPM2
Urate_all	HMGB1P31
Urate_all	PIMREGP1
Urate_all	LTF
Urate_all	LPIN3
Urate_all	AMFR
Urate_all	RAB1B
Urate_all	ZFYVE16
Urate_all	THBS3-AS1
Urate_all	SLC66A2
Urate_all	UMPS
Urate_all	EEF1AKMT2
Urate_all	RBBP5
Urate_all	MAST2
Urate_all	C1orf216
Urate_all	CCDC57
Urate_all	NNT
Urate_all	ZNF384
Urate_all	FADS2
Urate_all	ELP6
Urate_all	GNB4
Urate_all	PIGL
Urate_all	C5orf34
Urate_all	GRAMD2A
Urate_all	ZNF486
Urate_all	CIAO2A
Urate_all	ATP13A1
Urate_all	WWP1
Urate_all	NEK8
Urate_all	SKA2
Urate_all	UBASH3B
Urate_all	TRIM37
Urate_all	ASB16-AS1
Urate_all	PRLR
Urate_all	ADIRF-AS1
Urate_all	ADM-DT
Urate_all	UCK2
Urate_all	ZNF318
Urate_all	NDUFS7
Urate_all	SLC35E2A
Urate_all	C2orf16
Urate_all	BYSL
Urate_all	IMPG2
Urate_all	TBX2-AS1
Urate_all	MUC6
Urate_all	KLF7
Urate_all	ZBTB2
Urate_all	NFAT5
Urate_all	P4HA2
Urate_all	IDUA
Urate_all	KLHL30
Urate_all	PIP5K1B
Urate_all	KDM6B
Urate_all	RHNO1
Urate_all	USP10
Urate_all	ST6GALNAC4
Urate_all	RPP25L
Urate_all	ITPK1
Urate_all	TCEA2
Urate_all	SLC22A4
Urate_all	CCNE2
Urate_all	PIGS
Urate_all	DUS2
Urate_all	UBA7
Urate_all	COA1
Urate_all	QPCT
Urate_all	NT5DC1
Urate_all	KRTCAP2
Urate_all	CNTN5
Urate_all	ANO7
Urate_all	FRK
Urate_all	GOLPH3
Urate_all	B3GNT7
Urate_all	SBF2
Urate_all	SERTAD4
Urate_all	RASGRF2
Urate_all	STEAP1
Urate_all	GNG5
Urate_all	PKM
Urate_all	GAR1
Urate_all	CLDN14-AS1
Urate_all	STK17A
Urate_all	TNRC6B
Urate_all	GTF2IP12
Urate_all	STEAP2
Urate_all	CKB
Urate_all	ZSCAN16
Urate_all	ZNF595
Urate_all	FUT8
Urate_all	UPK3BP1
Urate_all	TRMT61A-DT
Urate_all	C2orf72
Urate_all	SETD2
Urate_all	IMPDH1P8
Urate_all	C2orf74-DT
Urate_all	SUPT6H
Urate_all	GBA
Urate_all	ZEB2
Urate_all	HLA-A
Urate_all	SLC7A6
Urate_all	STK17B
Urate_all	TRIM29
Urate_all	ERI2
Urate_all	RPL13AP12
Urate_all	KIF1B
Urate_all	TPM3
Urate_all	JAG1
Urate_all	LINC01589
Urate_all	MARVELD2
Urate_all	JSRP1
Urate_all	GOLPH3L
Urate_all	CYB5A
Urate_all	ARHGDIB
Urate_all	DHRS7B
Urate_all	APEH
Urate_all	LINC00638
Urate_all	CCDC175
Urate_all	AQP4
Urate_all	INO80E
Urate_all	TMEM266
Urate_all	TMEM60
Urate_all	PRKCZ-AS1
Urate_all	HORMAD1
Urate_all	TCAIM
Urate_all	TP53INP2
Urate_all	DPM2
Urate_all	MTX1P1
Urate_all	NUP153-AS1
Urate_all	DTX2P1
Urate_all	STON2
Urate_all	GPRC5C
Urate_all	UBA3
Urate_all	CCRL2
Urate_all	CCDC125
Urate_all	KRT8P11
Urate_all	FUT8-AS1
Urate_all	CASTOR1
Urate_all	ESYT3
Urate_all	GUSBP2
Urate_all	KCTD5P1
Urate_all	WNT10A
Urate_all	SDF2
Urate_all	SLC9B1
Urate_all	RASGRP2
Urate_all	SMPD3
Urate_all	CNNM2
Urate_all	SLC22A5
Urate_all	LMTK2
Urate_all	RRAGD
Urate_all	LPAL2
Urate_all	ZNF337-AS1
Urate_all	PPP2R1B
Urate_all	L3MBTL3
Urate_all	TMF1
Urate_all	ADORA2B
Urate_all	PRELID1
Urate_all	AGO1
Urate_all	SEPTIN7P14
Urate_all	VPS9D1
Urate_all	THBS3
Urate_all	MET
Urate_all	CDPF1P1
Urate_all	AMDHD2
Urate_all	SLX9
Urate_all	KDM4B
Urate_all	MFRP
Urate_all	SNORA27
Urate_all	KCNB2
Urate_all	MBOAT2
Urate_all	BOLA2P2
Urate_all	KLHL22
Urate_all	DENND3
Urate_all	TICRR
Urate_all	IL18R1
Urate_all	MST1
Urate_all	REXO1
Urate_all	RAD52
Urate_all	DPEP2
Urate_all	ABCA1
Urate_all	FOSL2-AS1
Urate_all	C3orf86
Urate_all	TRMT10C
Urate_all	RBBP8
Urate_all	CHD3
Urate_all	LYRM1
Urate_all	PRSS16
Urate_all	CFL1P5
Urate_all	VPREB3
Urate_all	GOLPH3-DT
Urate_all	DCAF16
Urate_all	MICALL2
Urate_all	LCORL
Urate_all	CPEB4
Urate_all	BDNF
Urate_all	MED4
Urate_all	RALY
Urate_all	FDXACB1
Urate_all	BHLHA15
Urate_all	IQCN
Urate_all	IDH2-DT
Urate_all	PDHB
Urate_all	CA9
Urate_all	ASPSCR1
Urate_all	LINC02875
Urate_all	ZNF445
Urate_all	RMND1
Urate_all	TEX101
Urate_all	SNX19
Urate_all	MAP1LC3A
Urate_all	NCOR1
Urate_all	MRPS36
Urate_all	TBX2
Urate_all	RPA1
Urate_all	ACTR1A
Urate_all	USP12-DT
Urate_all	SLC1A6
Urate_all	PRMT7
Urate_all	EFCAB13
Urate_all	RPS21
Urate_all	CCDC171
Urate_all	RAI14
Urate_all	TNKS2-DT
Urate_all	PWWP2A
Urate_all	YIPF4
Urate_all	CHMP1A
Urate_all	CFHR1
Urate_all	REEP3
Urate_all	KCNK17
Urate_all	APCDD1
Urate_all	ARMT1
Urate_all	IGFBP5
Urate_all	LRRC1
Urate_all	ARNT2-DT
Urate_all	PCDHGC4
Urate_all	ZNF502
Urate_all	BBS7
Urate_all	CD72
Urate_all	DNASE1
Urate_all	MEIS1
Urate_all	LRRC27
Urate_all	LINC02861
Urate_all	POU2AF1
Urate_all	RNU6-516P
Urate_all	HLA-DPB1
Urate_all	EID3
Urate_all	HNF4A
Urate_all	GINS1
Urate_all	NASP
Urate_all	HLA-U
Urate_all	ACSM1
Urate_all	LINC00862
Urate_all	ADAMTSL4-AS1
Urate_all	LARP1B
Urate_all	C16orf74
Urate_all	TRIM35
Urate_all	TRAF3
Urate_all	SLC22A13
Urate_all	GINS4
Urate_all	DPY19L1P2
Urate_all	SPIN1
Urate_all	ALG9
Urate_all	ZNF281
Urate_all	TLCD1
Urate_all	MIR3936
Urate_all	NINL
Urate_all	ZNF512B
Urate_all	SCAP
Urate_all	TMEM43
Urate_all	TALDO1
Urate_all	LINC01094
Urate_all	HLA-DOA
Urate_all	TH
Urate_all	CCR5
Urate_all	CHST14
Urate_all	BHMT
Urate_all	DARS1-AS1
Urate_all	DNAJA4
Urate_all	FOSL1P1
Urate_all	JMY
Urate_all	YPEL3-DT
Urate_all	H3-3A-DT
Urate_all	UBXN4
Urate_all	MFSD2A
Urate_all	HLA-DPA1
Urate_all	ZKSCAN7
Urate_all	NUDT2
Urate_all	GOLT1A
Urate_all	DSTYK
Urate_all	UCKL1
Urate_all	FAM53B
Urate_all	C9orf64
Urate_all	LINC02283
Urate_all	KLC1
Urate_all	GNPAT
Urate_all	HCG15
Urate_all	ATF4P3
Urate_all	CD59
Urate_all	TM6SF2
Urate_all	SENP8
Urate_all	FAM182B
Urate_all	ARNT2
Urate_all	SLX4
Urate_all	UNCX
Urate_all	LYST
Urate_all	THUMPD3
Urate_all	MLF2
Urate_all	NAMA
Urate_all	KCTD21-AS1
Urate_all	ATP8B2
Urate_all	TTC19
Urate_all	MCL1
Urate_all	SLC26A1
Urate_all	CICP4
Urate_all	MPV17L2
Urate_all	FAM241A
Urate_all	MSL1
Urate_all	RSBN1L
Urate_all	RPP14
Urate_all	OAF
Urate_all	PSIP1
Urate_all	PUM1
Urate_all	GPR22
Urate_all	PAIP1
Urate_all	RPS20P22
Urate_all	ZNF165
Urate_all	KIF16B
Urate_all	SLC17A4
Urate_all	CAPN12
Urate_all	MPRIPP1
Urate_all	MAVS
Urate_all	ZNF839
Urate_all	HDAC5
Urate_all	MAN1B1-DT
Urate_all	MB
Urate_all	FXYD2
Urate_all	UTS2R
Urate_all	PRPF6
Urate_all	AK6
Urate_all	TMUB2
Urate_all	PIP5KL1
Urate_all	MAFTRR
Urate_all	LRP1
Urate_all	CPSF6
Urate_all	CELA2B
Urate_all	MTX1
Urate_all	SDC1
Urate_all	DCUN1D3
Urate_all	LINC01143
Urate_all	VAX2
Urate_all	USP12
Urate_all	SNX1
Urate_all	COPS7B
Urate_all	ANKRD28
Urate_all	UBE2O
Urate_all	ZNF787
Urate_all	H2BC12
Urate_all	IL7
Urate_all	SRSF10
Urate_all	DNER
Urate_all	NAA40
Urate_all	PHB1
Urate_all	USP34-DT
Urate_all	BRI3
Urate_all	VIPR2
Urate_all	EDC4
Urate_all	FAM189B
Urate_all	SHH
Urate_all	TMEM42
Urate_all	KIF9-AS1
Urate_all	HSF5
Urate_all	CHCHD2P2
Urate_all	RBFA
Urate_all	PBX1
Urate_all	CEROX1
Urate_all	IL33
Urate_all	G6PC3
Urate_all	FEN1
Urate_all	MXD3
Urate_all	CDKL2
Urate_all	CTU2
Urate_all	KRT18P34
Urate_all	AGBL2
Urate_all	RCC2
Urate_all	CDK11B
Urate_all	HSPA8P15
Urate_all	RN7SL471P
Urate_all	INHBC
Urate_all	DDX28
Urate_all	TXNL4B
Urate_all	FIGNL2
Urate_all	HLA-V
Urate_all	MOK
Urate_all	ZSCAN16-AS1
Urate_all	ARHGEF39
Urate_all	KRT17P2
Urate_all	APOC1
Urate_all	RPL26P19
Urate_all	SMIM43
Urate_all	PERCC1
Urate_all	USP53
Urate_all	PTGES3P2
Urate_all	FLRT2-AS1
Urate_all	PLEC
Urate_all	ZNF311
Urate_all	ZSCAN26
Urate_all	LSM3
Urate_all	RAPSN
Urate_all	UBALD2
Urate_all	FMO2
Urate_all	IRF1-AS1
Urate_all	DMGDH
Urate_all	ADPGK
Urate_all	SLC5A1
Urate_all	CLCN6
Urate_all	SKI
Urate_all	ADAMTS9
Urate_all	PTPRJ
Urate_all	SMYD4
Urate_all	LINC02009
Urate_all	PGAM1P4
Urate_all	KRT18P37
Urate_all	APTR
Urate_all	AK7
Urate_all	CCDC163
Urate_all	ELF1
Urate_all	LMOD1
Urate_all	KCTD14
Urate_all	IPPK
Urate_all	ZBTB49
Urate_all	DLEU2
